endTime,artistName2,trackName,msPlayed
2023-03-07 01:11,Billie Eilish,ilomilo,417

2023-03-07 01:11,Billie Eilish,Getting Older,743

2023-03-07 01:11,Bad Bunny,Moscow Mule,464

2023-03-07 01:11,Bad Bunny,Me Porto Bonito,557

2023-03-07 01:11,Bad Bunny,Ojitos Lindos,1741

2023-03-07 01:11,TINI,La Triple T,0

2023-03-07 01:15,Billie Eilish,Getting Older,244221

2023-03-07 01:19,Billie Eilish,TV,261780

2023-03-07 01:23,Billie Eilish,everything i wanted,228670

2023-03-07 02:44,Billie Eilish,everything i wanted,1216

2023-03-07 02:48,Billie Eilish,Oxytocin,210232

2023-03-07 02:54,Billie Eilish,Lost Cause,42634

2023-03-07 14:07,Billie Eilish,Lost Cause,170117

2023-03-07 14:10,Billie Eilish,come out and play,210375

2023-03-07 14:13,Billie Eilish,my boy,170852

2023-03-07 14:17,Billie Eilish,Not My Responsibility,203068

2023-03-07 14:20,Billie Eilish,8,173201

2023-03-07 22:00,Billie Eilish,TV,5433

2023-03-07 22:04,Eminem,Love The Way You Lie,4566

2023-03-07 22:04,Rihanna,S&M,243600

2023-03-07 22:08,Rihanna,You Da One,200013

2023-03-07 22:11,Rihanna,We Found Love,215226

2023-03-07 22:17,Rihanna,Consideration,161066

2023-03-07 22:20,Rihanna,Love On The Brain,224000

2023-03-07 22:24,Rihanna,Kiss It Better,253080
